,method,index,value
0,retrain,2500,0.8444
1,MUter,2500,0.8475
2,Newton_delta,2500,0.8411
3,Influence_delta,2500,0.8417
4,Fisher_delta,2500,0.8404
5,Newton,2500,0.8413
6,Influence,2500,0.8418
7,Fisher,2500,0.8376
8,retrain,5000,0.8454
9,MUter,5000,0.8454
10,Newton_delta,5000,0.8321
11,Influence_delta,5000,0.833
12,Fisher_delta,5000,0.8299
13,Newton,5000,0.8314
14,Influence,5000,0.8325
15,Fisher,5000,0.8218
16,retrain,7500,0.848
17,MUter,7500,0.8473
18,Newton_delta,7500,0.8233
19,Influence_delta,7500,0.8255
20,Fisher_delta,7500,0.8159
21,Newton,7500,0.8175
22,Influence,7500,0.8203
23,Fisher,7500,0.7901
24,retrain,10000,0.8463
25,MUter,10000,0.8387
26,Newton_delta,10000,0.8071
27,Influence_delta,10000,0.8102
28,Fisher_delta,10000,0.7918
29,Newton,10000,0.8003
30,Influence,10000,0.8055
31,Fisher,10000,0.6994
32,retrain,2500,0.8498
33,MUter,2500,0.849
34,Newton_delta,2500,0.8432
35,Influence_delta,2500,0.8434
36,Fisher_delta,2500,0.8415
37,Newton,2500,0.8417
38,Influence,2500,0.8428
39,Fisher,2500,0.8375
40,retrain,5000,0.846
41,MUter,5000,0.8459
42,Newton_delta,5000,0.8331
43,Influence_delta,5000,0.8345
44,Fisher_delta,5000,0.8287
45,Newton,5000,0.8304
46,Influence,5000,0.8319
47,Fisher,5000,0.8167
48,retrain,7500,0.8479
49,MUter,7500,0.8455
50,Newton_delta,7500,0.8197
51,Influence_delta,7500,0.8225
52,Fisher_delta,7500,0.8135
53,Newton,7500,0.8184
54,Influence,7500,0.8207
55,Fisher,7500,0.7864
56,retrain,10000,0.8442
57,MUter,10000,0.8277
58,Newton_delta,10000,0.8066
59,Influence_delta,10000,0.8108
60,Fisher_delta,10000,0.7918
61,Newton,10000,0.8008
62,Influence,10000,0.8048
63,Fisher,10000,0.6991
64,retrain,2500,0.8516
65,MUter,2500,0.852
66,Newton_delta,2500,0.8457
67,Influence_delta,2500,0.8454
68,Fisher_delta,2500,0.8449
69,Newton,2500,0.845
70,Influence,2500,0.8456
71,Fisher,2500,0.8411
72,retrain,5000,0.8486
73,MUter,5000,0.849
74,Newton_delta,5000,0.835
75,Influence_delta,5000,0.8363
76,Fisher_delta,5000,0.8351
77,Newton,5000,0.833
78,Influence,5000,0.8339
79,Fisher,5000,0.8246
80,retrain,7500,0.8426
81,MUter,7500,0.8419
82,Newton_delta,7500,0.8239
83,Influence_delta,7500,0.8264
84,Fisher_delta,7500,0.8153
85,Newton,7500,0.8207
86,Influence,7500,0.823
87,Fisher,7500,0.7888
88,retrain,10000,0.8432
89,MUter,10000,0.8105
90,Newton_delta,10000,0.809
91,Influence_delta,10000,0.8127
92,Fisher_delta,10000,0.7909
93,Newton,10000,0.8029
94,Influence,10000,0.8077
95,Fisher,10000,0.6863
